Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
O Hotel Pune,Pune,3.9,Good ,776,7.2,3,Deluxe Room ,Multiple bed types,Free cancellation,5500.0,660.0,prepayment
FabExpress SRH Hinjewadi,Pune,5.7,Superb ,699,9.1,1,Deluxe Room,1 double bed,Free cancellation,1980.0,0.0,prepayment
Treebo Trend Royal Imperio,Pune,16.0,Good ,89,7.6,0,Standard Double Room,1 extra-large double bed,Free cancellation,1941.0,233.0,No prepayment needed
Sayaji Pune,Pune,3.9,Good ,641,7.8,1,Grand Double Room,1 large double bed,Free cancellation,5750.0,690.0,prepayment
OYO Flagship Hotel Omega,Pune,2.9,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,1874.0,241.0,No prepayment needed
Corporate Stay,Pune,9.3,Good ,19,7.0,0,Deluxe Double Room,1 double bed,Free cancellation,1915.0,230.0,prepayment
Treebo Trend Ranjeet Deccan,Pune,2.3,Good ,344,7.0,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,3360.0,403.0,No prepayment needed
"Treebo Trend La Paradise, Pune",Pune,6.5,Good ,21,7.6,1,Standard Double Room,1 large double bed,Free cancellation,2428.0,291.0,prepayment
FabHotel Crystal Homes,Pune,0.1,Fabulous ,223,8.6,3,Deluxe Room,1 large double bed,Free cancellation,1964.0,236.0,prepayment
Hotel Nandanvan Annexe,Pune,1.4,Review score ,172,6.7,0,Standard Double Room,1 large double bed,Free cancellation,1400.0,168.0,No prepayment needed
Itsy By Treebo - Sky Vista,Pune,9.5,Good ,407,7.7,0,Economy Double Room,1 large double bed,Free cancellation,1767.0,212.0,No prepayment needed
"Holiday Inn Express Pune Hinjewadi, an IHG Hotel",Pune,4.4,Review score ,1398,6.8,2,"Superior Queen Room with Free Breakfast , Wifi & 15% Discount on F&B - Non Smoking",1 double bed,Not Free,3328.0,399.0,prepayment
astoria lake villa with infinity pool,Pune,7.9,No Review,0,0.0,0,Three-Bedroom Villa,"Entire villa • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²6 beds (4 doubles, 2 sofa beds)",Free cancellation,9450.0,1701.0,No prepayment needed
"Holiday Inn Express Pune Pimpri, an IHG Hotel",Pune,3.1,Review score ,564,6.6,2,"Superior Queen Room with Free Buffet Breakfast , Wifi & 15% Discount on F&B - Non-Smoking",1 double bed,Not Free,3328.0,399.0,prepayment
Itsy By Treebo - RG Cottage,Pune,5.0,Good ,66,7.0,0,Standard Double Room,1 large double bed,Free cancellation,1901.0,228.0,No prepayment needed
Treebo Trend Apricot Premier,Pune,4.5,Good ,25,7.3,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,2376.0,285.0,No prepayment needed
Hotel Aurora Towers,Pune,2.3,Good ,281,7.1,0,Executive Twin Room,2 single beds,Free cancellation,4000.0,480.0,No prepayment needed
"Holiday Inn Express Kolkata Airport, an IHG Hotel",Kolkata,0.3,Good ,1563,7.9,2,Queen Room - Mobility Access Roll in Shower/Non-Smoking,2 double beds,Not Free,3780.0,453.0,prepayment
Fairfield by Marriott Kolkata,Kolkata,0.1,Very good ,1618,8.4,1,Day Use Room (9am to 7pm) - Mandatory check out at 7pm - No Night stay allowed - Multiple days stay not allowed,2 single beds,Free cancellation,2500.0,300.0,No prepayment needed
Super OYO Townhouse 1221 Hotel Acme,Kolkata,3.2,Review score ,100,5.1,0,Classic Triple Room,1 extra-large double bed,Free cancellation,1546.0,202.0,No prepayment needed
The Oberoi Grand Kolkata,Kolkata,2.1,Superb ,2023,9.2,1,Luxury Double Room,1 extra-large double bed,Free cancellation,8500.0,1530.0,prepayment
"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata",Kolkata,3.9,Fabulous ,2300,8.6,2,"Towers Exclusive, Guest room, 1 Queen",1 double bed,Free cancellation,7600.0,1368.0,No prepayment needed
"Taj City Centre New Town, Kolkata",Kolkata,0.2,Very good ,753,8.2,2,Deluxe Twin Room,1 single bed,Free cancellation,6300.0,756.0,No prepayment needed
Novotel Kolkata Hotel and Residences,Kolkata,9.5,Good ,1688,7.7,2,"Superior King Room -  - Enjoy Unlimited drinks between 6-8 PM (House Brands only), Snacks (Chef’s Special), Choice of Cocktails/Mocktails at an additional cost of INR 1500 + tax per person",1 large double bed,Not Free,4164.0,500.0,prepayment
"ITC Sonar, a Luxury Collection Hotel, Kolkata",Kolkata,4.1,Very good ,1064,8.4,3,"Executive club, Guest room, 1 Queen",1 large double bed,Free cancellation,6650.0,798.0,No prepayment needed
Taj Bengal,Kolkata,5.1,Fabulous ,797,8.9,2,Deluxe Room Various View  King Bed,1 extra-large double bed,Free cancellation,7900.0,1422.0,prepayment
OYO Hotel Homely Raj Near Kalighat Kali Temple,Kolkata,5.7,Review score ,43,6.8,0,Standard Double Room with Fan,1 extra-large double bed,Free cancellation,927.0,127.0,No prepayment needed
Raajkutir - IHCL SeleQtions,Kolkata,3.3,Fabulous ,241,8.8,1,Superior Double Room with 15% discount on Food and Beverage (Excluding in room dining),1 extra-large double bed,Free cancellation,5500.0,660.0,prepayment
Vivanta Kolkata EM Bypass,Kolkata,6.8,Very good ,997,8.2,3,Superior Room City View King Bed,1 extra-large double bed,Free cancellation,5500.0,660.0,No prepayment needed
JW Marriott Hotel Kolkata,Kolkata,3.9,Very good ,707,8.3,3,Deluxe King Guest Room,"2 beds (1 extra-large double, 1 sofa bed)",Free cancellation,8000.0,1440.0,No prepayment needed
The Sonnet Kolkata,Kolkata,4.8,Good ,276,7.4,1,Superior Double Room,1 extra-large double bed,Free cancellation,4550.0,546.0,prepayment
The Lalit Great Eastern Kolkata,Kolkata,2.1,Good ,364,7.6,2,Deluxe King City View,1 extra-large double bed,Free cancellation,6500.0,780.0,prepayment
Treebo Trend Apple Tree Express - Airport,Kolkata,2.4,Exceptional ,101,9.5,1,Economy Double Room,1 large double bed,Free cancellation,1247.0,150.0,prepayment
Treebo Tryst Dee Empresa,Kolkata,2.3,Good ,303,7.5,0,Standard Double Room,Multiple bed types,Free cancellation,3154.0,379.0,No prepayment needed
Hyatt Regency Kolkata,Kolkata,3.6,Good ,1541,7.9,1,King Room,1 extra-large double bed,Not Free,6300.0,756.0,prepayment
"Howard Johnson by Wyndham, Kolkata Airport",Kolkata,9.6,Good ,647,7.1,2,Queen Room with 20% discount on F&B and Spa,1 large double bed,Free cancellation,3400.0,408.0,No prepayment needed
Hotel Holiday Express,Kolkata,2.3,Very good ,37,8.2,0,Budget Single Room,1 single bed,Free cancellation,1099.0,132.0,No prepayment needed
FabHotel Eros 211,Kolkata,5.9,Superb ,1041,9.0,3,Deluxe Room,1 large double bed,Free cancellation,1271.0,152.0,prepayment
"Kenilworth Hotel, Kolkata",Kolkata,3.3,Very good ,953,8.2,1,Executive Double Room - 10% off on Laundry and Travel desk,Beds: 1 double or 2 singles,Free cancellation,6664.0,800.0,No prepayment needed
Itsy By Treebo - Park Central,Kolkata,2.7,Good ,315,7.8,0,Double Room,1 large double bed,Free cancellation,1848.0,222.0,No prepayment needed
The Westin Kolkata Rajarhat,Kolkata,11.0,Very good ,861,8.5,3,Deluxe King Room with Bathtub,1 extra-large double bed,Free cancellation,6500.0,780.0,prepayment
Goroomgo Arhan Villa Kolkata,Kolkata,1.3,Superb ,2,9.0,3,Deluxe Double Room,1 extra-large double bed,Free cancellation,719.0,86.0,No prepayment needed
Central Bed & Breakfast,Kolkata,3.6,Superb ,146,9.4,2,Grand Executive Room,"3 beds (1 extra-large double, 2 futons)",Not Free,5000.0,600.0,prepayment
The Senator Hotel,Kolkata,3.3,Good ,487,7.9,0,Crystal Double Room,1 double bed,Free cancellation,3200.0,384.0,prepayment
Radharani Apartment,Kolkata,3.9,Superb ,43,9.0,2,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 88m²2 extra-large double beds,Free cancellation,3598.0,432.0,No prepayment needed
Lakeside Suites,Kolkata,6.3,Exceptional ,106,9.6,1,Double Room with Private Bathroom,1 double bed,Not Free,2700.0,324.0,prepayment
The Tavern Orchid Hotel,Kolkata,8.5,Fabulous ,71,8.6,1,Deluxe Double Room,1 large double bed,Not Free,1781.0,214.0,prepayment
Red Arrow Residency,Kolkata,3.9,Very good ,222,8.5,0,Deluxe Double or Twin Room,2 single beds,Not Free,3150.0,378.0,prepayment
Reliable Inn,Kolkata,5.7,Very good ,6,8.3,2,Standard Double Room,1 double bed,Free cancellation,2850.0,342.0,prepayment
Happy Stay kolkata,Kolkata,0.7,Review score ,19,6.8,3,Deluxe Double Room,1 extra-large double bed,Free cancellation,1100.0,132.0,No prepayment needed
Bombay Backpackers kolkata,Kolkata,3.0,Good ,505,7.9,0,Bed in 8-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,700.0,84.0,No prepayment needed
Hotel Delux,Kolkata,2.2,Review score ,30,3.0,0,Budget Double Room,1 single bed,Free cancellation,800.0,96.0,No prepayment needed
ibis Kolkata Rajarhat - An Accor Brand,Kolkata,9.5,Good ,2566,7.9,2,Standard Queen Room,1 double bed,Free cancellation,3200.0,384.0,No prepayment needed
The Silverline Hotel,Kolkata,0.8,Review score ,706,6.2,0,Standard Double Room,1 large double bed,Free cancellation,1499.0,180.0,No prepayment needed
Narendra niketan,Kolkata,0.05,Review score ,198,5.2,0,Single Bed in Male Dormitory Room with Shared Bathroom - Indian nationals only,Bed in dormitory1 single bed,Free cancellation,300.0,36.0,No prepayment needed
FabExpress Step Inn,Kolkata,0.3,Fabulous ,551,8.8,1,Deluxe Double Room,1 double bed,Free cancellation,1213.0,146.0,prepayment
FabExpress Quest,Kolkata,3.3,Very good ,335,8.2,1,Deluxe Room,1 double bed,Free cancellation,1650.0,198.0,prepayment
Mohar Residency - A boutique hotel,Kolkata,6.6,Good ,53,7.0,3,Deluxe Room,1 double bed,Free cancellation,1875.0,225.0,No prepayment needed
Siamton Inn- A Cygnett Collection,Kolkata,2.7,Good ,69,7.8,0,Standard Double Room,1 double bed,Free cancellation,4400.0,528.0,prepayment
Krishna Kunja Guest House,Kolkata,6.9,Fabulous ,75,8.9,1,Deluxe Room,1 double bed,Free cancellation,1824.0,219.0,prepayment
Hotel Angina,Kolkata,2.1,Review score ,367,5.5,2,Deluxe Twin Room,2 single beds,Free cancellation,1695.0,203.0,No prepayment needed
FabHotel Orion Crystal Park Circus,Kolkata,3.1,Very good ,1119,8.3,3,Deluxe Room,1 double bed,Free cancellation,1680.0,202.0,prepayment
Nalanda Tulip,Kolkata,6.3,Very good ,33,8.2,1,Budget Double Room,1 large double bed,Free cancellation,1100.0,132.0,prepayment
"The Elgin Fairlawn, Kolkata",Kolkata,2.3,Good ,276,7.7,1,Double or Twin Room,1 single bed,Free cancellation,7000.0,840.0,prepayment
Flagship Fantasy Stay Vibe,Kolkata,3.7,Review score ,21,3.6,0,Classic Triple Room,1 large double bed,Free cancellation,909.0,125.0,No prepayment needed
Jimmy Guest House,Kolkata,1.1,Good ,260,7.8,0,Single Room,1 single bed,Free cancellation,1188.0,0.0,No prepayment needed
Hotel Avenue Club,Kolkata,1.2,Review score ,12,1.3,0,Single Room,1 single bed,Not Free,585.0,70.0,prepayment
The Park Kolkata,Kolkata,2.5,Review score ,490,6.6,1,Deluxe King Room,1 double bed,Free cancellation,7400.0,888.0,prepayment
YWCA GALLWAY GUEST HOUSE,Kolkata,2.7,Good ,68,7.1,3,Standard Single Room with Shared Bathroom,1 single bed,Free cancellation,800.0,96.0,No prepayment needed
"Lemon Tree Premier, New Town, Kolkata",Kolkata,9.6,Good ,83,7.9,2,Deluxe King Room,1 extra-large double bed,Free cancellation,6000.0,1428.0,prepayment
Ritu Ivy,Kolkata,6.9,Good ,98,7.4,1,Single Room,1 single bed,Free cancellation,2404.0,288.0,prepayment
Shila International,Kolkata,3.5,Good ,80,7.5,0,Standard Double Room,1 double bed,Free cancellation,1392.0,167.0,prepayment
"Hotel Hindusthan International, Kolkata",Kolkata,3.7,Review score ,504,5.2,1,Imperial Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,4548.0,546.0,No prepayment needed
FabHotel Heera Holiday Inn,Kolkata,2.3,Good ,5,7.6,3,Deluxe Room,1 double bed,Free cancellation,1760.0,227.0,prepayment
FabHotel De Sivalika Howrah,Kolkata,7.3,Very good ,173,8.2,3,Deluxe Room,1 double bed,Free cancellation,2090.0,251.0,prepayment
Rooms Solution Shapoorji,Kolkata,8.3,No Review,0,0.0,0,Standard Room,1 double bed,Not Free,800.0,96.0,prepayment
Roland Hotel,Kolkata,3.9,Good ,270,7.1,3,Deluxe Room,Multiple bed types,Free cancellation,2800.0,336.0,prepayment
FabHotel Azure Sky Hussainpur,Kolkata,7.8,Fabulous ,776,8.7,3,Deluxe Double Room,1 double bed,Free cancellation,1320.0,158.0,prepayment
The Moira - Bed and Breakfast,Kolkata,3.3,Superb ,157,9.1,2,King Room with Balcony,1 extra-large double bed,Not Free,6000.0,720.0,prepayment
FabHotel Eros 282,Kolkata,6.1,Fabulous ,517,8.8,3,Deluxe Room,1 large double bed,Free cancellation,1440.0,173.0,prepayment
"Ganesh Lodge, Kolkata",Kolkata,2.2,No Review,0,0.0,0,Deluxe Room,"2 beds (1 double, 1 futon)",Free cancellation,720.0,86.0,prepayment
Treebo Trend ASL Prime,Kolkata,5.4,Good ,158,7.9,1,Standard Double Room,1 double bed,Free cancellation,2396.0,288.0,No prepayment needed
Hotel Royal Crowne,Kolkata,0.4,Review score ,254,5.8,2,Standard Double Room,1 large double bed,Free cancellation,1133.0,136.0,No prepayment needed
"Ethnotel, Kolkata Airport",Kolkata,1.4,Good ,487,7.5,1,Standard Room,Multiple bed types,Free cancellation,3300.0,396.0,prepayment
FabExpress Royal Oak,Kolkata,5.3,Very good ,33,8.2,1,Deluxe Room,1 double bed,Free cancellation,1320.0,158.0,prepayment
A home away from home,Kolkata,6.2,Superb ,46,9.2,3,Budget Single Room,1 single bed,Free cancellation,1283.0,154.0,No prepayment needed
Hotel Cecil,Kolkata,0.8,Very good ,174,8.1,1,Standard Double Room,1 large double bed,Free cancellation,2708.0,325.0,No prepayment needed
Viceroy Boutique Hotel,Kolkata,9.4,Good ,188,7.2,0,Executive Double or Twin Room,Multiple bed types,Free cancellation,3572.0,429.0,No prepayment needed
Shaw Guest House,Kolkata,1.6,Good ,369,7.8,0,Single Room with Shared Bathroom,1 single bed,Free cancellation,799.0,96.0,No prepayment needed
Townhouse 1050 Centre Point Inn Near Esplanade Metro Station,Kolkata,2.0,Review score ,24,6.0,1,Standard Double Room,1 extra-large double bed,Free cancellation,1638.0,209.0,No prepayment needed
Treebo Trend Mangalam Bhawanipore,Kolkata,3.6,Good ,92,7.4,0,Standard Double Room,1 large double bed,Free cancellation,2544.0,305.0,No prepayment needed
Eco Corporate Inn,Kolkata,0.8,Fabulous ,146,8.9,1,Double Room,1 large double bed,Not Free,1458.0,175.0,prepayment
Celesta - Kolkata,Kolkata,8.4,Good ,84,7.8,0,Deluxe Double or Twin Room,2 single beds,Free cancellation,2700.0,324.0,prepayment
Golden Heaven Hotel,Kolkata,1.3,Review score ,330,4.9,0,Standard Double Room,1 large double bed,Not Free,1087.0,130.0,prepayment
YMCA SEACOM INN,Kolkata,2.3,Review score ,621,6.9,0,Budget Double Room,2 single beds,Free cancellation,1870.0,224.0,No prepayment needed
Backpackers Park,Kolkata,2.5,Review score ,372,6.6,0,Bunk Bed in Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,630.0,76.0,No prepayment needed
FabHotel Prime Rockstar Suites,Kolkata,3.2,Fabulous ,10,8.6,3,Deluxe Room,1 double bed,Free cancellation,1980.0,238.0,prepayment
FabHotel Royal Palm,Kolkata,8.6,Fabulous ,5,8.6,3,Deluxe Room,1 single bed,Free cancellation,1430.0,188.0,prepayment
FabHotel New Dream Palace,Kolkata,5.8,Very good ,15,8.0,3,Deluxe Room,1 double bed,Free cancellation,1540.0,220.0,prepayment
FabExpress Amar Raj Villa,Kolkata,1.4,Review score ,47,6.4,1,Deluxe Room,1 double bed,Free cancellation,1320.0,158.0,prepayment
FabHotel Victoria inn,Kolkata,6.3,Very good ,39,8.1,3,Deluxe Room,1 large double bed,Free cancellation,1819.0,218.0,prepayment
FabExpress Shivalya,Kolkata,6.7,Good ,45,7.5,0,Deluxe Room,1 double bed,Free cancellation,1100.0,132.0,prepayment
FabHotel Aadorlys,Kolkata,6.2,Good ,46,7.7,3,Deluxe Room,1 large double bed,Free cancellation,1980.0,238.0,prepayment
FabHotel The Eden Ruby,Kolkata,7.1,Good ,39,7.1,1,Superior Double Room,1 double bed,Free cancellation,1980.0,238.0,prepayment
FabHotel Kolkata Residency Salt Lake,Kolkata,8.2,Good ,43,7.7,3,Superior Double Room,1 large double bed,Free cancellation,1650.0,198.0,prepayment
FabExpress Ullash Residency,Kolkata,6.3,Good ,52,7.6,1,Deluxe Room,1 double bed,Free cancellation,1485.0,178.0,prepayment
The Aster Enclave Hotel,Kolkata,8.5,Very good ,98,8.2,0,Superior King Room,1 double bed,Free cancellation,2025.0,243.0,No prepayment needed
Southern Plaza,Kolkata,6.6,Review score ,87,6.8,0,Standard Room,1 double bed,Free cancellation,3750.0,450.0,No prepayment needed
"Fortune Park Panchwati, Kolkata - Member ITC's Hotel Group",Kolkata,0.5,Good ,235,7.2,1,Deluxe Double Room - 15% Off on F&B and Laundry,"3 beds (2 singles, 1 large double)",Free cancellation,3700.0,444.0,prepayment
FabHotel Eleanora Inn New Town,Kolkata,9.7,Good ,243,7.9,3,Deluxe Room,1 double bed,Free cancellation,1439.0,173.0,prepayment
Aristocrat Hotel,Kolkata,9.0,Review score ,61,6.8,2,"Deluxe Double Room with 10% Discount On Happy Hours(3PM to 10PM), F&B, Spa, Laundry",1 double bed,Free cancellation,4696.0,563.0,No prepayment needed
DREAM GUEST HOUSE,Kolkata,6.2,No Review,0,0.0,0,Triple Room with Shared Bathroom,"2 beds (1 single, 1 large double)",Free cancellation,1223.0,147.0,No prepayment needed
Hotel Royal Inn Tallygunge Kolkata,Kolkata,8.0,Review score ,1,1.0,2,Deluxe Double Room,1 extra-large double bed,Free cancellation,899.0,108.0,No prepayment needed
Hotel Atlantic,Kolkata,2.0,Review score ,11,2.0,0,Single Room,1 single bed,Not Free,439.0,53.0,prepayment
FabHotel Aqua Tulip,Kolkata,3.5,Good ,65,7.6,3,Deluxe Room,1 double bed,Free cancellation,1265.0,168.0,prepayment
City Central Hostel,Kolkata,0.7,Fabulous ,336,8.6,0,Bed in 10-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,450.0,54.0,No prepayment needed
Hotel O2 Oxygen,Kolkata,9.5,Review score ,90,6.7,0,PREMIUM DELUXE ROOM,1 double bed,Free cancellation,3648.0,438.0,No prepayment needed
Hotel Sky Inn - Safdarjung Enclave,New Delhi,8.3,Good ,5,7.0,3,Deluxe Double Room (2 Adults + 1 Child),1 large double bed,Free cancellation,1596.0,191.0,No prepayment needed
The Ramida Suites At Delhi Airport,New Delhi,13.4,Very good ,46,8.0,3,Deluxe Double Room (2 Adults + 1 Child),1 extra-large double bed,Free cancellation,1211.0,363.0,No prepayment needed
Palm Everland,New Delhi,14.8,Very good ,103,8.0,2,Superior Double or Twin Room,"3 beds (2 singles, 1 extra-large double)",Free cancellation,1259.0,453.0,No prepayment needed
Hotel King Plaza,New Delhi,14.9,Review score ,317,6.6,3,Double Room,1 double bed,Free cancellation,2240.0,269.0,No prepayment needed
Hotel Clayton Near IGI Airport Delhi,New Delhi,14.9,Review score ,505,6.4,3,Deluxe Double Room,1 extra-large double bed,Free cancellation,2240.0,403.0,No prepayment needed
Hotel Tripple Tree - Karol Bagh,New Delhi,4.0,Very good ,443,8.2,2,Standard Double Room,1 extra-large double bed,Free cancellation,3876.0,465.0,No prepayment needed
"THE SINGH EMPIRE, New Delhi",New Delhi,1.2,Good ,1673,7.9,3,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,2842.0,341.0,No prepayment needed
Hotel Grand Suites Delhi Airport By D Capitol,New Delhi,14.8,Good ,457,7.9,3,Deluxe King Room,1 double bed,Free cancellation,1754.0,211.0,No prepayment needed
Hotel Decent Suites - Delhi Airport,New Delhi,14.8,Good ,1947,7.7,3,Deluxe King Room,1 double bed,Free cancellation,1614.0,194.0,No prepayment needed
Hotel Siddharth A Boutique Guest House,New Delhi,1.1,Review score ,340,6.4,3,Deluxe Double Room,1 double bed,Free cancellation,1223.0,147.0,No prepayment needed
Hotel City Empire,New Delhi,1.2,Very good ,2233,8.1,2,Superior Double/Twin,Beds: 1 double or 2 singles,Free cancellation,2296.0,275.0,No prepayment needed
Hindustan by Backpackers Heaven Near New Delhi Railway Station,New Delhi,1.3,Very good ,86,8.0,3,Bed in 8-Bed Mixed Dormitory Room,Bed in dormitory1 single bed,Free cancellation,748.0,90.0,No prepayment needed
"Staybook - Hotel City Stories - By Aira Xing, Paharganj, New Delhi",New Delhi,1.9,Good ,551,7.9,3,Deluxe Room,1 double bed,Free cancellation,2842.0,341.0,No prepayment needed
Airport Hotel IVY,New Delhi,14.8,Good ,615,7.5,3,Deluxe Room,1 extra-large double bed,Free cancellation,1512.0,181.0,No prepayment needed
Hotel Smart Plaza Delhi Airport,New Delhi,14.8,Good ,4208,7.4,3,Deluxe Double Room,1 double bed,Free cancellation,2524.0,303.0,No prepayment needed
HOTEL GEESON -New Delhi Railway Station -Paharganj,New Delhi,1.4,Good ,384,7.9,3,Deluxe Double Room,1 extra-large double bed,Free cancellation,1759.0,211.0,No prepayment needed
The Prime Delhi,New Delhi,1.3,Very good ,2112,8.2,2,Superior Double or Twin Room,Multiple bed types,Free cancellation,4050.0,486.0,No prepayment needed
Jyoti Mahal A Heritage Hotel - 05 Mins from New Delhi Railway Station,New Delhi,1.3,Good ,319,7.5,2,Standard Double Room,1 double bed,Free cancellation,2336.0,280.0,No prepayment needed
Airport Hotel Tashree,New Delhi,13.8,Good ,174,7.6,2,Standard Double Room,1 large double bed,Free cancellation,2024.0,243.0,No prepayment needed
Hotel Preet Palace -5 Mints Walk From Nizamuddin Railway Station,New Delhi,6.4,Good ,79,7.3,0," Day use room for 6 hours, strictly from 12 PM to 6 PM no over night stay allowed",1 double bed,Free cancellation,1785.0,214.0,prepayment
Hotel City lite Near IGI Airport,New Delhi,14.8,Good ,393,7.0,3,Deluxe Room,1 double bed,Free cancellation,1260.0,151.0,No prepayment needed
Airport Grand Tashree,New Delhi,14.8,Good ,160,7.0,3,Deluxe Double Room,1 double bed,Free cancellation,1271.0,153.0,No prepayment needed
Hotel Aero Star Near Delhi Airport,New Delhi,13.1,Good ,574,7.9,0,Deluxe Double or Twin Room,1 extra-large double bed,Free cancellation,2800.0,336.0,No prepayment needed
Hotel Ajanta,New Delhi,1.3,Good ,762,7.2,2,Standard Twin Room,2 single beds,Free cancellation,2836.0,340.0,prepayment
Hotel Tashree Delhi Airport,New Delhi,14.8,Good ,271,7.2,2,Deluxe Double Room,1 double bed,Free cancellation,2100.0,252.0,No prepayment needed
The Leena International -New Delhi,New Delhi,1.2,Very good ,270,8.0,2,Deluxe Room - Non View,1 extra-large double bed,Free cancellation,3690.0,443.0,No prepayment needed
Backpackers Heaven New King - New Delhi Train Station,New Delhi,1.1,Good ,460,7.1,2,Bed in 4-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,765.0,92.0,No prepayment needed
Hotel King plaza Near IGI Airport Delhi,New Delhi,14.8,Good ,662,7.4,3,Deluxe King Room,1 extra-large double bed,Free cancellation,3200.0,384.0,No prepayment needed
Hotel Star Villa - Budget Friendly,New Delhi,0.9,Review score ,196,6.8,2,Standard Double Room,1 extra-large double bed,Free cancellation,1501.0,180.0,No prepayment needed
Hotel GODWIN DELUXE - New Delhi Railway Station - Paharganj,New Delhi,1.4,Good ,174,7.4,2,Executive Double Room,Multiple bed types,Free cancellation,3500.0,420.0,prepayment
Hotel S B INN Paharganj,New Delhi,1.1,Exceptional ,4,10.0,2,Single Bed in Male Dormitory Room with Shared Bathroom,Bed in dormitory1 single bed,Free cancellation,455.0,55.0,No prepayment needed
Hotel Park Tree Near Delhi Airport,New Delhi,13.6,Review score ,152,5.9,3,Deluxe Room,1 large double bed,Not Free,2142.0,257.0,prepayment
"Cosy Grand, Near Chanakyapuri, Embassy Area",New Delhi,8.0,Very good ,343,8.0,0,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,4830.0,580.0,No prepayment needed
"Taj Palace, New Delhi",New Delhi,6.7,Fabulous ,4263,8.7,3,"Superior Room, Twin bed",1 single bed,Free cancellation,14000.0,2520.0,prepayment
"Park Inn by Radisson,South Delhi",New Delhi,8.0,Good ,1315,7.7,2,Superior Room,1 large double bed,Free cancellation,8000.0,1440.0,No prepayment needed
"Holiday Inn New Delhi International Airport, an IHG Hotel",New Delhi,13.5,Good ,5928,7.8,3,One King Bed Standard- Non-Smoking ,1 extra-large double bed,Not Free,9000.0,1620.0,prepayment
Family Hotel Tark Near IGI Airport Delhi,New Delhi,14.8,Good ,426,7.2,3,Deluxe Double Room,1 extra-large double bed,Free cancellation,2708.0,325.0,No prepayment needed
Hotel IVY plaza Luxury,New Delhi,14.8,Good ,582,7.4,3,Deluxe Room,1 extra-large double bed,Free cancellation,1361.0,327.0,No prepayment needed
Hotel Le-Mount Near IGI Airport Delhi,New Delhi,14.8,Good ,904,7.5,3,Deluxe Room,1 extra-large double bed,Free cancellation,1485.0,178.0,No prepayment needed
"Airport Hotel Grand, New Delhi",New Delhi,13.9,Good ,597,7.8,3,Deluxe Room,1 extra-large double bed,Free cancellation,2822.0,339.0,No prepayment needed
AEROCITY HOTEL J P PALACE IGI AIRPORT New Delhi BY SHOAIB TRAVELS,New Delhi,13.8,Review score ,53,5.5,3,Budget Double Room,1 extra-large double bed,Not Free,1274.0,153.0,prepayment
ibis New Delhi Aerocity - An Accor Brand,New Delhi,13.4,Review score ,7603,6.8,3,Standard Queen Room,1 large double bed,Free cancellation,6500.0,780.0,No prepayment needed
Hari Piorko Inn Express,New Delhi,1.1,Good ,39,7.2,0,Budget Room,1 large double bed,Free cancellation,1485.0,178.0,No prepayment needed
Hotel Blue Pearl,New Delhi,1.3,Very good ,2509,8.2,0,Deluxe Room,1 double bed,Free cancellation,3600.0,432.0,prepayment
Airport Hotel Ramhan Palace Mahipalpur,New Delhi,13.3,Good ,1335,7.9,0,Standard Double or Twin Room,2 single beds,Free cancellation,3250.0,390.0,No prepayment needed
"Ambassador, New Delhi - IHCL SeleQtions",New Delhi,3.7,Good ,1171,7.8,2,"Superior Room Queen Bed with 15% off on Food and Soft Beverages, Happy Hours (Buy 1 & Get 1) on select menu at InSomnia",1 large double bed,Free cancellation,8500.0,1530.0,prepayment
Hotel Glow Inn-3 Mins Walking From NDLS,New Delhi,1.1,Good ,430,7.1,3,Deluxe Double Room,1 extra-large double bed,Free cancellation,1199.0,144.0,No prepayment needed
"HOTEL DAKHA INTERNATIONAL - Karol Bagh, New Delhi",New Delhi,2.9,Very good ,506,8.1,1,Deluxe Double or Twin Room,1 extra-large double bed,Free cancellation,3036.0,364.0,No prepayment needed
Hotel Red Velvet At Delhi Airport,New Delhi,15.4,Good ,32,7.6,2,Deluxe Double Room,1 extra-large double bed,Free cancellation,1540.0,185.0,No prepayment needed
Airport Hotel Clayton,New Delhi,14.9,Good ,206,7.7,3,Deluxe Double or Twin Room,1 large double bed,Free cancellation,2800.0,336.0,prepayment
New Delhi YMCA Tourist Hostel,New Delhi,1.3,Review score ,1179,6.5,2,Standard Single Room with Breakfast,1 single bed,Free cancellation,3300.0,396.0,No prepayment needed
