Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
St. Antonys Lodge,Kochi,1.4,Good ,195,7.8,0,Single Room with Shared Bathroom,1 single bed,Free cancellation,370.0,44.0,prepayment
Treebo Trend Grand Vistara Airport Suites,Kochi,24.3,Fabulous ,748,8.7,0,Standard Double Room,1 extra-large double bed,Free cancellation,2848.0,342.0,No prepayment needed
Almas Residency,Kochi,3.0,Review score ,187,6.6,1,Deluxe Double Room,1 extra-large double bed,Free cancellation,898.0,108.0,No prepayment needed
Itsy By Treebo - Palm Grove By D2V,Kochi,8.3,Good ,75,7.4,0,Standard Double Room,Multiple bed types,Free cancellation,2804.0,337.0,No prepayment needed
A V Residency,Kochi,2.3,Review score ,44,6.7,0,Deluxe Double Room,2 single beds,Free cancellation,1399.0,168.0,prepayment
Mega Tourist Home Palarivattom,Kochi,4.6,Review score ,123,5.7,0,Budget Double or Twin Room,2 single beds,Free cancellation,650.0,78.0,prepayment
i - One's Home Stay,Kochi,4.0,Superb ,203,9.1,0,Budget Double Room,2 single beds,Free cancellation,800.0,96.0,prepayment
Kenz Residency,Kochi,2.4,Good ,543,7.9,2,Standard Double Room with Fan,1 large double bed,Free cancellation,1450.0,174.0,prepayment
Nambiars Premium Heritage Hotel,Kochi,0.8,Good ,277,7.3,0,Standard Double Room,1 large double bed,Free cancellation,1499.0,180.0,prepayment
Hotel Aiswarya,Kochi,0.7,Good ,362,7.3,0,Standard Double or Twin Room (no AC),Multiple bed types,Free cancellation,1399.0,168.0,No prepayment needed
"Santa Maria Hostel, Fort Kochi",Kochi,3.8,Fabulous ,53,8.7,0,Bed in 6-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,500.0,60.0,No prepayment needed
"Crowne Plaza Kochi, an IHG Hotel",Kochi,6.0,Fabulous ,1136,8.6,3,Standard Twin Room with City View - Non-Smoking,2 single beds,Not Free,8456.0,1522.0,prepayment
The Trios Hotel,Kochi,0.8,Very good ,259,8.1,3,Deluxe Double or Twin Room,Multiple bed types,Free cancellation,2546.0,305.0,prepayment
Anupam Residency,Kochi,0.7,Review score ,336,6.3,1,Single Room with Shared Bathroom,1 single bed,Not Free,353.0,42.0,prepayment
TGR SUITES,Kochi,8.3,Very good ,48,8.4,2,Deluxe Suite,Private suite1 extra-large double bed,Free cancellation,2500.0,300.0,No prepayment needed
Forte Kochi,Kochi,4.1,Superb ,394,9.0,2,"Classic Double Room with 10% discount on food, 20% discount on Ayurmana, and one and a half-hour guided heritage walk from 7 AM to 8:30 AM",1 large double bed,Free cancellation,14000.0,2520.0,prepayment
joseys homestay,Kochi,4.4,Superb ,66,9.3,0,Double Room with Private Bathroom,2 single beds,Free cancellation,720.0,86.0,No prepayment needed
Sea Hut Homestay,Kochi,5.3,Fabulous ,416,8.9,0,Classic Double  Bed Room,1 large double bed,Free cancellation,1800.0,216.0,prepayment
Once Upon The River - Cochin International Airport,Kochi,23.6,Very good ,249,8.0,1,King Room with Garden View,1 double bed,Free cancellation,4410.0,529.0,prepayment
"Hotel Neighbourhood, Cochin",Kochi,0.7,Very good ,409,8.1,0,Standard Double Room with Fan,1 double bed,Free cancellation,2700.0,324.0,No prepayment needed
Yuvarani Residency,Kochi,0.7,Good ,53,7.7,0,Standard King Room,1 double bed,Free cancellation,3230.0,388.0,prepayment
Prayana,Kochi,2.5,Good ,5,7.2,0,Standard Double Room,1 double bed,Free cancellation,3200.0,384.0,No prepayment needed
The Pgs Vedanta,Kochi,2.4,Good ,116,7.4,1,Deluxe Double or Twin Room,1 double bed,Free cancellation,4500.0,540.0,prepayment
